album_id,album_name,artist_name,artist_type,total_revenue,total_vendor_cost,profit,profit_margin_percent
1,19,Adele,Famous,45013.25,54078.94,-9065.69,-20.14
2,21,Adele,Famous,20635.40,25943.48,-5308.08,-25.72
3,25,Adele,Famous,50460.23,67370.41,-16910.18,-33.51
4,30,Adele,Famous,27019.52,32266.18,-5246.66,-19.42
5,"Yours Truly","Ariana Grande",Famous,29960.72,30152.10,-191.38,-0.64
6,"My Everything","Ariana Grande",Famous,37980.50,50828.40,-12847.90,-33.83
7,"Dangerous Woman","Ariana Grande",Famous,43911.68,64034.30,-20122.62,-45.83
8,Sweetener,"Ariana Grande",Famous,49385.97,72511.25,-23125.28,-46.83
9,"Thank U, Next","Ariana Grande",Famous,20226.78,26429.00,-6202.22,-30.66
10,Positions,"Ariana Grande",Famous,44549.12,54783.84,-10234.72,-22.97
11,"Eternal Sunshine","Ariana Grande",Famous,40771.25,49416.03,-8644.78,-21.20
12,"Square Up",BLACKPINK,Famous,26458.38,32524.08,-6065.70,-22.93
13,"Kill This Love",BLACKPINK,Famous,33606.91,43909.02,-10302.11,-30.65
14,"The Album",BLACKPINK,Famous,19253.28,20305.35,-1052.07,-5.46
15,"Born Pink",BLACKPINK,Famous,32717.19,41012.17,-8294.98,-25.35
16,"Dark & Wild",BTS,Famous,59095.12,4351169.16,-4292074.04,-7262.99
17,Wings,BTS,Famous,34273.98,42597.80,-8323.82,-24.29
18,"You Never Walk Alone",BTS,Famous,48490.24,68025.81,-19535.57,-40.29
19,"Love Yourself: Her",BTS,Famous,49446.00,56711.20,-7265.20,-14.69
20,"Love Yourself: Tear",BTS,Famous,41508.56,60666.90,-19158.34,-46.16
21,"Love Yourself: Answer",BTS,Famous,35725.97,45584.24,-9858.27,-27.59
22,"Map of the Soul: Persona",BTS,Famous,40710.80,46752.18,-6041.38,-14.84
23,"Map of the Soul: 7",BTS,Famous,61547.84,65959.26,-4411.42,-7.17
24,BE,BTS,Famous,43066.40,51925.20,-8858.80,-20.57
25,Proof,BTS,Famous,49742.00,59017.95,-9275.95,-18.65
26,"X 100PRE","Bad Bunny",Famous,34801.41,48136.86,-13335.45,-38.32
27,YHLQMDLG,"Bad Bunny",Famous,39324.25,54503.40,-15179.15,-38.60
28,"El Último Tour Del Mundo","Bad Bunny",Famous,38178.84,44266.56,-6087.72,-15.95
29,"Un Verano Sin Ti","Bad Bunny",Famous,19023.75,24265.89,-5242.14,-27.56
30,"Nadie Sabe Lo Que Va a Pasar Mañana","Bad Bunny",Famous,42399.80,46563.60,-4163.80,-9.82
31,"When We All Fall Asleep, Where Do We Go?","Billie Eilish",Famous,49587.50,80959.88,-31372.38,-63.27
32,"Happier Than Ever","Billie Eilish",Famous,51406.85,55883.94,-4477.09,-8.71
33,"Hit Me Hard and Soft","Billie Eilish",Famous,65962.38,74636.40,-8674.02,-13.15
34,"Doo-Wops & Hooligans","Bruno Mars",Famous,49105.92,58897.00,-9791.08,-19.94
35,"Unorthodox Jukebox","Bruno Mars",Famous,24936.00,26298.20,-1362.20,-5.46
36,"24K Magic","Bruno Mars",Famous,53744.50,55274.24,-1529.74,-2.85
37,"An Evening with Silk Sonic","Bruno Mars",Famous,63997.92,70976.40,-6978.48,-10.90
38,Camila,"Camila Cabello",Famous,51273.32,68554.05,-17280.73,-33.70
39,Romance,"Camila Cabello",Famous,52888.50,62478.83,-9590.33,-18.13
40,Familia,"Camila Cabello",Famous,32711.82,41981.42,-9269.60,-28.34
41,Amala,"Doja Cat",Famous,34334.52,49981.68,-15647.16,-45.57
42,"Hot Pink","Doja Cat",Famous,63631.59,86954.28,-23322.69,-36.65
43,"Planet Her","Doja Cat",Famous,43875.95,54243.92,-10367.97,-23.63
44,Scarlet,"Doja Cat",Famous,36900.40,47350.20,-10449.80,-28.32
45,"Thank Me Later",Drake,Famous,41053.10,48070.56,-7017.46,-17.09
46,"Take Care",Drake,Famous,30639.96,34025.39,-3385.43,-11.05
47,"Nothing Was the Same",Drake,Famous,61833.42,74211.52,-12378.10,-20.02
48,"If You're Reading This It's Too Late",Drake,Famous,40533.43,50955.54,-10422.11,-25.71
49,Views,Drake,Famous,55112.76,70080.46,-14967.70,-27.16
50,"+ (Plus)","Ed Sheeran",Famous,32527.27,44331.00,-11803.73,-36.29
51,"× (Multiply)","Ed Sheeran",Famous,42375.14,51383.36,-9008.22,-21.26
