customer_id,lifetime_revenue,clv_rank
28367,415.89,1
16017,378.45,2
21245,361.24,3
21438,352.78,4
14232,348.90,5
14853,348.15,6
29067,347.90,7
10877,344.91,8
843,335.41,9
7763,332.26,10
16804,331.30,11
14313,329.31,12
20271,321.55,13
5868,318.20,14
21725,317.32,15
8241,315.89,16
29410,313.09,17
28448,309.78,18
8727,306.58,19
5075,306.02,20
17571,304.43,21
6481,302.97,22
17236,302.88,23
872,301.50,24
13410,300.66,25
13411,299.52,26
2272,298.79,27
24719,298.75,28
25500,298.65,29
6466,297.81,30
15981,297.44,31
5251,296.13,32
16096,295.03,33
2169,294.67,34
16299,291.43,35
7170,291.37,36
19014,289.27,37
20760,288.94,38
18900,288.40,39
1762,288.38,40
9572,288.14,41
1999,287.52,42
4289,286.20,43
3244,281.70,44
13212,281.69,45
4718,280.42,46
29480,280.17,47
13094,279.94,48
11555,279.78,49
28198,278.09,50
18997,276.96,51
12340,276.60,52
15098,275.46,53
20780,275.11,54
19547,275.08,55
27954,273.68,56
24046,273.17,57
26019,272.24,58
23641,271.98,59
13892,271.22,60
4692,270.29,61
27919,270.02,62
15449,269.85,63
12162,269.79,64
28641,269.17,65
14307,268.98,66
9731,268.91,67
25553,268.82,68
14985,268.41,69
3639,267.95,70
673,267.13,71
28086,266.97,72
21695,266.48,73
13331,266.24,74
16403,265.47,75
18717,264.87,76
28202,264.75,77
13921,264.70,78
25335,264.32,79
3515,262.43,80
1413,262.28,81
9967,261.71,82
12795,261.48,83
28326,261.17,84
29926,259.72,85
14201,259.20,86
6169,258.26,87
15063,258.20,88
8796,258.15,89
20836,257.71,90
16942,257.68,91
20930,257.63,92
14998,256.91,93
3040,256.19,94
12542,256.19,94
13497,256.17,96
15165,256.06,97
3900,255.64,98
13977,255.62,99
18375,254.34,100
9745,254.24,101
12670,251.32,102
5675,251.24,103
26343,251.04,104
16382,251.01,105
4292,250.95,106
1760,250.76,107
9841,250.72,108
14948,250.53,109
28250,249.67,110
23460,249.20,111
7068,249.11,112
14210,248.73,113
23754,248.20,114
11608,248.17,115
28993,247.96,116
10619,247.81,117
20030,247.71,118
11438,247.70,119
11051,247.26,120
13707,246.72,121
23930,246.34,122
27669,246.29,123
22929,245.88,124
4201,245.68,125
21388,245.46,126
14512,245.23,127
5624,245.20,128
26708,244.90,129
1716,244.70,130
29506,244.59,131
28450,244.53,132
23956,244.28,133
18657,244.11,134
3103,243.91,135
2721,243.85,136
12195,243.82,137
14959,243.67,138
6855,243.59,139
7569,243.53,140
195,243.06,141
1048,242.86,142
10382,242.77,143
25622,242.69,144
18324,242.69,144
29967,242.53,146
18217,242.43,147
10133,242.23,148
10389,242.22,149
9349,242.22,149
22517,242.02,151
16196,241.74,152
7193,241.71,153
7765,241.58,154
25319,241.36,155
6303,240.68,156
22406,240.19,157
3905,240.11,158
17536,239.92,159
20673,239.80,160
5496,239.48,161
28646,239.33,162
17382,239.06,163
9681,238.50,164
10728,238.36,165
25074,237.97,166
27548,237.81,167
781,237.57,168
19049,237.40,169
14928,236.95,170
13304,236.93,171
8470,235.97,172
29554,235.94,173
3512,235.91,174
26706,235.63,175
4752,235.56,176
24224,234.88,177
18396,234.80,178
16953,234.73,179
3020,234.45,180
22611,234.37,181
5175,234.28,182
4209,234.24,183
27096,234.18,184
16217,234.07,185
22509,233.89,186
28220,233.58,187
27975,233.39,188
3654,233.34,189
22573,233.30,190
23642,233.24,191
16881,233.17,192
27951,233.04,193
26349,232.60,194
3741,232.48,195
10557,232.45,196
26716,232.40,197
23364,232.38,198
3424,232.32,199
25405,232.27,200
8716,232.14,201
6627,231.93,202
986,231.78,203
20279,231.50,204
13158,231.29,205
10246,231.21,206
2550,231.18,207
26407,230.91,208
16979,230.82,209
2024,230.79,210
12740,230.66,211
8809,230.64,212
796,230.52,213
27678,230.51,214
28534,230.20,215
9444,229.65,216
20921,229.30,217
18693,228.94,218
18280,228.71,219
9295,228.49,220
21269,228.46,221
24361,228.24,222
12820,227.90,223
1533,227.57,224
1066,227.56,225
13810,227.21,226
23916,227.03,227
17566,226.84,228
12840,226.70,229
25592,226.16,230
25013,226.14,231
22770,226.13,232
14158,225.97,233
26970,225.72,234
11313,225.61,235
19037,225.60,236
22473,225.58,237
20165,225.57,238
13923,225.54,239
14036,225.51,240
3389,225.45,241
12937,224.86,242
20155,224.45,243
6712,224.42,244
14408,224.24,245
27196,224.02,246
10467,223.69,247
22900,223.40,248
5459,223.36,249
28335,223.19,250
25175,222.97,251
11879,222.80,252
13203,222.23,253
1742,222.09,254
18211,221.95,255
20334,221.83,256
15131,221.78,257
3529,221.67,258
27807,221.52,259
21273,221.37,260
3840,221.34,261
8622,221.25,262
11931,221.18,263
26674,221.13,264
11621,221.08,265
27744,221.07,266
5564,220.90,267
22089,220.89,268
22228,220.43,269
26441,220.24,270
3190,220.02,271
20612,219.80,272
26668,219.79,273
6558,219.65,274
24339,219.43,275
20414,219.20,276
26261,218.84,277
7814,218.62,278
20083,218.61,279
28613,218.47,280
13862,218.43,281
20498,218.33,282
28190,218.31,283
21862,218.19,284
4352,218.07,285
9574,218.06,286
20387,217.99,287
14872,217.95,288
27050,217.68,289
22158,217.55,290
11484,217.36,291
25239,217.26,292
23838,217.20,293
1109,217.18,294
24544,217.11,295
5538,217.02,296
12021,216.97,297
3918,216.90,298
4681,216.83,299
2435,216.78,300
24913,216.73,301
26977,216.39,302
25986,216.26,303
28736,216.18,304
24648,216.09,305
6927,216.08,306
12663,215.98,307
29516,215.93,308
17661,215.92,309
15212,215.86,310
2446,215.84,311
16849,215.80,312
28056,215.70,313
1958,215.29,314
10091,215.14,315
28449,215.05,316
20347,215.04,317
23022,214.95,318
15653,214.91,319
10544,214.68,320
2210,214.66,321
6472,214.44,322
9859,214.44,322
16790,214.11,324
6571,214.10,325
20591,213.74,326
16832,213.69,327
6818,213.39,328
26679,213.36,329
27608,213.21,330
29995,213.17,331
13254,213.11,332
10719,212.82,333
2503,212.45,334
27315,212.27,335
25321,212.19,336
9416,212.14,337
9633,211.96,338
29672,211.78,339
21806,211.73,340
14290,211.51,341
22071,211.35,342
20326,211.31,343
81,211.24,344
11545,211.16,345
290,210.97,346
5975,210.94,347
2091,210.87,348
4097,210.82,349
4726,210.66,350
4001,210.45,351
23047,210.28,352
20874,210.22,353
3686,210.20,354
11289,210.07,355
1050,210.01,356
28469,209.98,357
6619,209.97,358
3324,209.88,359
10889,209.81,360
4723,209.61,361
19706,209.52,362
5112,209.49,363
25648,209.43,364
15365,209.42,365
19970,208.96,366
3566,208.90,367
22833,208.84,368
730,208.82,369
6698,208.63,370
4515,208.43,371
12608,208.39,372
7263,208.31,373
14861,208.27,374
13663,208.10,375
28306,208.06,376
3990,207.99,377
151,207.96,378
19734,207.93,379
21315,207.83,380
2816,207.78,381
6029,207.72,382
3223,207.67,383
16621,207.65,384
14454,207.56,385
16404,207.48,386
13566,207.26,387
20585,207.20,388
25665,207.16,389
5578,206.89,390
8634,206.78,391
15757,206.61,392
5194,206.41,393
14879,206.40,394
16518,206.31,395
22139,206.20,396
26627,206.14,397
19460,206.13,398
27447,206.13,398
21848,206.08,400
23633,206.06,401
1325,206.03,402
8137,205.91,403
26370,205.76,404
356,205.50,405
7602,205.47,406
25421,205.39,407
11938,205.36,408
13508,205.34,409
12013,205.31,410
5094,205.27,411
7431,205.20,412
3706,205.18,413
24201,204.96,414
10661,204.91,415
15327,204.78,416
28723,204.77,417
5932,204.56,418
13104,204.51,419
18168,204.40,420
6094,204.30,421
12770,204.26,422
25813,204.21,423
28352,204.13,424
16067,204.08,425
24515,203.96,426
15030,203.91,427
3159,203.75,428
8054,203.70,429
19490,203.63,430
88,203.47,431
26226,203.45,432
